Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE1277	"HGPC, in monolayer, 0.5 vs. 20% serum"	"Expression profiling by array"	"Homo sapiens"	2				15094393		"Robert C. Olney"	"Apr 13, 2004"
GSE1278	"HGPC, in monolayer, 0.5% serum"	"Expression profiling by array"	"Homo sapiens"	3				15094393		"Robert C. Olney"	"Apr 13, 2004"
GSE1299	"Breast Cancer Cell Line Experiment"	"Expression profiling by array"	"Homo sapiens"	22	GDS817;GDS820;GDS823;GDS825			15161944		"Brig Mecham"	"Apr 13, 2004"
GSE1302	"primary trophoblast study"	"Expression profiling by array"	"Homo sapiens"	75				15161964		"Brig Mecham"	"Apr 13, 2004"
GSE1153	"Estrogen-regulated gene expression in human osteosarcoma cells stably transfected with estrogen receptor alpha or beta"	"Expression profiling by array"	"Homo sapiens"	20	GDS884			15033914		"Fabio Stossi"	"Apr 10, 2004"
GSE1288	"Cytokine Stimulated Vs Unstimulated"	"Expression profiling by array"	"Homo sapiens"	8						"Kimberly Baker"	"Apr 09, 2004"
GSE1291	"Adenovirus vs Mock Infection"	"Expression profiling by array"	"Homo sapiens"	3						"Kimberly Baker"	"Apr 09, 2004"
GSE1292	"HSP27 3A vs WT"	"Expression profiling by array"	"Homo sapiens"	8						"Kimberly Baker"	"Apr 09, 2004"
GSE1296	"Simple ambient preservation of human tissues for RNA expression array analysis"	"Expression profiling by array"	"Homo sapiens"	24	GDS1972			15537428		"Chunmei Liu"	"Apr 09, 2004"
GSE1295	"STRRIDE Study"	"Expression profiling by array"	"Homo sapiens"	32	GDS915	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1295/suppl"	15347626		"Eric Hoffman"	"Apr 08, 2004"
GSE1140	"PMBCs and the effect of exercise"	"Expression profiling by array"	"Homo sapiens"	15	GDS962	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1140/suppl"	15194674		"Peter Connolly"	"Apr 07, 2004"
GSE1276	"Effect of cigarette smoke on normal human bronchial epithelial cells, and S9 toxicity"	"Expression profiling by array"	"Homo sapiens"	26				15326394		"Stewart Alan Shields"	"Apr 06, 2004"
GSE1279	"Tubular carcinoma and adenoma"	"Expression profiling by array"	"Homo sapiens"	6	GDS1792			15800983		"Inchul Lee"	"Apr 06, 2004"
GSE1036	"Hemin timecourse 0-72h"	"Expression profiling by array"	"Homo sapiens"	12	GDS826			15252187		"Sankar Addya"	"Apr 05, 2004"
GSE931	"Acyclic retinoid induction of HepG2 cells"	"Expression profiling by array"	"Homo sapiens"	2						"Motoyuki Otsuka"	"Apr 03, 2004"
GSE907	"Gene expression profiling of Rhesus monkey extraocular muscle and its layers (Porter lab)"	"Expression profiling by array"	"Homo sapiens;Macaca mulatta"	16	GDS556;GDS557	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE907/suppl"	15326121		"Sangeeta Khanna"	"Apr 01, 2004"
GSE1009	"Diabetic nephropathy"	"Expression profiling by array"	"Homo sapiens"	6	GDS961	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1009/suppl"	15042541		"Hans Baelde"	"Apr 01, 2004"
GSE1064	"TK6 and WTK1 LCLs plus NO"	"Expression profiling by array"	"Homo sapiens"	16				15126337		"Ana I Robles"	"Apr 01, 2004"
GSE1147	"Sex Specific Transciption in Human Hypothalamus"	"Expression profiling by array"	"Homo sapiens"	23	GDS564			15177028		"Joel Rozowsky"	"Mar 28, 2004"
GSE1010	"FCHL study"	"Expression profiling by array"	"Homo sapiens"	24	GDS946					"Fulvio Morello"	"Mar 27, 2004"
GSE686	"Gene Expression Profiles of Head and Neck Squamous Cell Carcinoma (HNSCC) primary tumors"	"Expression profiling by array"	"Homo sapiens"	78				15144956		"Charles M. Perou"	"Mar 24, 2004"
GSE1045	"Estradiol Treated Breast Cancer Cells Expressing Mutant Estrogen Receptors"	"Expression profiling by array"	"Homo sapiens"	12	GDS901			15023342		"Joshua David Stender"	"Mar 24, 2004"
GSE1145	"changes in cardiac transcription profiles brought about by heart failure"	"Expression profiling by array"	"Homo sapiens"	107	GDS651	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1145/suppl"			"Martina Schinke"	"Mar 24, 2004"
GSE951	"267B1, PC3M, LNCaP Methylation Profile vs. mRNA Expression Level"	"Expression profiling by array;Methylation profiling by array"	"Homo sapiens"	14				16207477		"Yipeng Wang"	"Mar 21, 2004"
GSE1133	"tissue-specific pattern of mRNA expression"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	438	GDS592;GDS596	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1133/suppl"	15075390		"John R Walker"	"Mar 19, 2004"
GSE1054	"EP300 knock-out image segmentation"	"Expression profiling by array"	"Homo sapiens"	48		"TIFF"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1054/suppl"	15028803		"Ahmed Ashour Ahmed"	"Mar 16, 2004"
GSE967	"pediatric sarcoma: rhabdomyosarcoma & Ewing's sarcoma"	"Expression profiling by array"	"Homo sapiens"	23	GDS971			15146558		"Matthias Nees"	"Mar 13, 2004"
GSE1128	"PDGF-induced genes regulated by the PI3K and MEK/ERK signaling pathways"	"Expression profiling by array"	"Homo sapiens"	11		"TIFF"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1128/suppl"	14769801		"Geoffrey M Cooper"	"Mar 13, 2004"
GSE1081	"Effect of a 4 hour treatment of 100 nM endothelin-1 on human primary lung fibroblasts"	"Expression profiling by array"	"Homo sapiens"	4	GDS860			15044479		"Andrew Leask"	"Mar 12, 2004"
GSE1028	"Scott B cell studies"	"Expression profiling by array"	"Homo sapiens"	12	GDS1320			16242039		"Daniele Kerbiriou-Nabias"	"Mar 05, 2004"
GSE1057	"Human lupus and normal CD4 T cells response to anti-CD3 treatment"	"Expression profiling by array"	"Homo sapiens"	27						"Luting Xu"	"Mar 05, 2004"
GSE1097	"GenomeTiling"	"Expression profiling by array"	"Homo sapiens"	741				15461792		"Stephen W Edwards"	"Mar 04, 2004"
GSE634	"Muscle - atypical diabetes protein expression"	"Protein profiling by protein array"	"Homo sapiens"	4				15010337		"Donald B. Thomason"	"Mar 01, 2004"
GSE687	"Prim_Fibs"	"Expression profiling by array"	"Homo sapiens"	16				15574883		"Kristine Hardy"	"Mar 01, 2004"
GSE688	"HMF3A_with_3Dwt"	"Expression profiling by array"	"Homo sapiens"	44				15574883		"Kristine Hardy"	"Mar 01, 2004"
GSE689	"GSEp53_v_Con"	"Expression profiling by array"	"Homo sapiens"	18						"Kristine Hardy"	"Mar 01, 2004"
GSE690	"HMF3A_RNAi"	"Expression profiling by array"	"Homo sapiens"	40				15574883		"Kristine Hardy"	"Mar 01, 2004"
GSE590	"USF1 haplotype comparison"	"Expression profiling by array"	"Homo sapiens"	10	GDS513			14991056		"Massimiliano Gentile"	"Feb 29, 2004"
GSE1078	"Microarray-based CGH using BAC clones"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	19						"Nehad Mohamed"	"Feb 29, 2004"
GSE981	"Endothelin-1 (ET-1) treated lung fibroblasts"	"Expression profiling by array"	"Homo sapiens"	2						"Andrew Leask"	"Feb 28, 2004"
GSE1056	"Hypoxia and Hypoxia mimics"	"Expression profiling by array"	"Homo sapiens"	18				15942021		"John J. LaPres"	"Feb 27, 2004"
GSE1038	"In vivo LPS effects on cardiac endothelial RNA-15K cDNA array"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	2				15319271		"John G Maresh"	"Feb 26, 2004"
GSE1065	"acute myeloid leukemia (AML)"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	14						"Herbert Auer"	"Feb 26, 2004"
GSE1066	"acute myeloid leukemia (AML)"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	4						"Nehad Mohamed"	"Feb 26, 2004"
GSE1059	"Myometrial cells expressing CREB, CREM alpha, CREM tau2alpha, ATF2 or the ATF2-small gene"	"Expression profiling by array"	"Homo sapiens"	18				15691874		"Jarrod Bailey"	"Feb 21, 2004"
GSE1041	"Responses of HUVEC to Hypoxia and Reoxygenation"	"Expression profiling by array"	"Homo sapiens"	22	GDS1968					"Phillip Bowman"	"Feb 18, 2004"
GSE1039	"Differential Gene Expression by Memory T Helper Cells Bearing the Gut-Homing Receptor Integrin α4β7 "	"Expression profiling by array"	"Homo sapiens"	27		"TIFF"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1039/suppl"	15236665		"Michael E. Salazar"	"Feb 13, 2004"
GSE884	"KM109"	"Expression profiling by array"	"Homo sapiens"	9						"Ellen Sterrenburg"	"Feb 12, 2004"
GSE895	"KM108_cDNA"	"Expression profiling by array"	"Homo sapiens"	8						"Ellen Sterrenburg"	"Feb 12, 2004"
GSE896	"HPP4_cDNA"	"Expression profiling by array"	"Homo sapiens"	9						"Ellen Sterrenburg"	"Feb 12, 2004"
GSE906	"Skeletal muscle cell fusion time course"	"Expression profiling by array"	"Homo sapiens"	26				15336692		"Ellen Sterrenburg"	"Feb 12, 2004"
GSE908	"KM109_Human oligo batch I"	"Expression profiling by array"	"Homo sapiens"	10	GDS942;GDS943			15336692		"Ellen Sterrenburg"	"Feb 12, 2004"
GSE909	"KM109_Human oligo batch II"	"Expression profiling by array"	"Homo sapiens"	10	GDS944;GDS945			15336692		"Ellen Sterrenburg"	"Feb 12, 2004"
GSE1037	"Lung cancer"	"Expression profiling by array"	"Homo sapiens"	91				15016488;21737174		"Yuichi Ishikawa"	"Feb 11, 2004"
GSE1017	"Acute Quadriplegic Myopathy"	"Expression profiling by array"	"Homo sapiens"	10		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1017/suppl"	14755723		"Eric Hoffman"	"Feb 06, 2004"
GSE1007	"Molecular profiles(HG-U95B,C,D,E) of dystrophin-deficient and normal human skeletal muscle"	"Expression profiling by array"	"Homo sapiens"	86	GDS609;GDS610;GDS611;GDS612	"CEL;EXP;RPT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1007/suppl"	12698323		"Judith Haslett"	"Feb 04, 2004"
GSE902	"T lymphocyte activation gene identification by coregulated expression on DNA microarrays"	"Expression profiling by array"	"Homo sapiens"	42				15177553		"Mao Mao"	"Feb 01, 2004"
GSE976	"Gene Expression-Based High Throughput Screening: APL Treatment with Candidate Compounds"	"Expression profiling by array"	"Homo sapiens"	24		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE976/suppl"	14770183		"Ken Ross"	"Jan 30, 2004"
GSE982	"Gene Expression-Based High Throughput Screening: HL-60 Cell Treatment with Candidate Compounds"	"Expression profiling by array"	"Homo sapiens"	75		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE982/suppl"	14770183		"Ken Ross"	"Jan 30, 2004"
GSE983	"Gene Expression-Based High Throughput Screening: Primary Patient AML Blasts, Normal Neutrophils, and Normal Monocytes"	"Expression profiling by array"	"Homo sapiens"	9		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE983/suppl"	14770183		"Ken Ross"	"Jan 30, 2004"
GSE985	"Gene Expression-Based High Throughput Screening: HL-60 Cells Treated with ATRA and PMA"	"Expression profiling by array"	"Homo sapiens"	21		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE985/suppl"	14770183		"Ken Ross"	"Jan 30, 2004"
GSE995	"Differentiation of acute myeloid leukemia cells"	"Expression profiling by array"	"Homo sapiens"	117		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE995/suppl"	14770183		"Ken Ross"	"Jan 30, 2004"
GSE1004	"Molecular profiles (HG-U95A) of dystrophin-deficient and normal human muscle"	"Expression profiling by array"	"Homo sapiens"	24	GDS563	"CEL;EXP;RPT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1004/suppl"	12415109		"Judith Haslett"	"Jan 29, 2004"
GSE998	"Amino Acid Conjugated Surfaces and Controls 6 Hours"	"Expression profiling by array"	"Homo sapiens"	5		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE998/suppl"			"Catherine Klapperich"	"Jan 28, 2004"
GSE999	"Amino Acid Conjugated Surfaces and Controls 32 Hours"	"Expression profiling by array"	"Homo sapiens"	5		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE999/suppl"			"Catherine Klapperich"	"Jan 28, 2004"
GSE1000	"Osteosarcoma TE85 cell tissue culture study"	"Expression profiling by array"	"Homo sapiens"	10	GDS562	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1000/suppl"			"Catherine Klapperich"	"Jan 28, 2004"
GSE994	"Effects of cigarette smoke on the human airway epithelial cell transcriptome"	"Expression profiling by array"	"Homo sapiens"	75	GDS534	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE994/suppl"	15210990		"Avrum Spira"	"Jan 27, 2004"
GSE608	"Human embryonic stem cells"	"Expression profiling by SAGE"	"Homo sapiens"	2				14688391		"Mark Richards"	"Jan 19, 2004"
GSE974	"Left ventricular apex samples"	"Expression profiling by array"	"Homo sapiens"	38		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE974/suppl"	14872006		"Grindle M Suzanne"	"Jan 18, 2004"
GSE953	"Effect of TERT and ATM on Gene Expression Profiles in Human Fibroblasts"	"Expression profiling by SAGE"	"Homo sapiens"	4				14978791		"Agnes Baross"	"Jan 17, 2004"
GSE968	"Neutrophil transcript abundance following 3/6 hr culture in normoxia, hypoxia and anoxia"	"Expression profiling by array"	"Homo sapiens"	18				15630139		"Cristin Print"	"Jan 17, 2004"
GSE581	"Inflammatory gene profiles in human gastric mucosa"	"Expression profiling by array"	"Homo sapiens"	27	GDS625			14764733		"Qiang Pan-Hammarström"	"Jan 07, 2004"
GSE939	"Osteopontin vs empty vector"	"Expression profiling by array"	"Homo sapiens"	2	GDS561					"Gregory Bloom"	"Jan 07, 2004"
GSE753	"MRI-no-lytic-lesion"	"Expression profiling by array"	"Homo sapiens"	36				14695408		"John D. Shaughnessy"	"Jan 01, 2004"
GSE754	"MRI-lytic-lesion"	"Expression profiling by array"	"Homo sapiens"	137				14695408		"John D. Shaughnessy"	"Jan 01, 2004"
GSE755	"MRI lytic and no lytic lesions"	"Expression profiling by array"	"Homo sapiens"	173	GDS531			14695408		"John D. Shaughnessy"	"Jan 01, 2004"
GSE758	"Gene expression in human optic nerve head  (ONH) astrocytes"	"Expression profiling by array"	"Homo sapiens"	44	GDS532			14747662;18822132		"M Rosario Hernandez"	"Jan 01, 2004"
GSE764	"Comparison of Gene Expression in Uterine Smooth Muscle Tumors"	"Expression profiling by array"	"Homo sapiens"	26	GDS533					"Bradley J Quade"	"Jan 01, 2004"
GSE846	"Conversion"	"Expression profiling by array"	"Homo sapiens"	17	GDS536			14702632		"Charlie Chen"	"Jan 01, 2004"
GSE847	"HS to HR progression"	"Expression profiling by array"	"Homo sapiens"	14	GDS535			14702632		"Charlie Chen"	"Jan 01, 2004"
GSE838	"Individual-specific variation of gene expression in peripheral blood leukocytes"	"Expression profiling by array"	"Homo sapiens"	69				15177552		"Mao Mao"	"Dec 31, 2003"
GSE873	"Muscle, normal extraocular, profile"	"Expression profiling by array"	"Homo sapiens"	5	GDS525	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE873/suppl"	15855387		"Dominik Fischer"	"Dec 31, 2003"
GSE935	"NIH/NIAID Chronic Granulomatous Disease Neutrophils"	"Expression profiling by array"	"Homo sapiens"	63				14688376		"Frank R. DeLeo"	"Dec 31, 2003"
GSE567	"Essential Thrombocythemia (ET) vs Normal (baseline) Megakaryocytes"	"Expression profiling by array"	"Homo sapiens"	2	GDS552			15271793		"Enrico Tagliafico"	"Dec 25, 2003"
GSE831	"stroma+monocytes"	"Expression profiling by array"	"Homo sapiens"	7				14996707		"Lynn Graf"	"Dec 22, 2003"
GSE740	"Rosetta_Merck_Splicing_Experiment"	"Expression profiling by array"	"Homo sapiens"	264	GDS829;GDS830;GDS831;GDS832;GDS833			14684825		"John Castle"	"Dec 19, 2003"
GSE918	"Rosetta (Merck) Expression Validated Gene Hybridizations"	"Expression profiling by array"	"Homo sapiens"	595				15461792		"Stephen W Edwards"	"Dec 18, 2003"
GSE405	"Microarray Comparison Using Normal Human Colonic Mucosa"	"Expression profiling by array"	"Homo sapiens"	10				14645736		"Nancy Mah"	"Dec 14, 2003"
GSE677	"Toward a functional annotation of the human genome using artificial transcription factors"	"Expression profiling by array"	"Homo sapiens"	132				14656973		"Jin-Soo Kim"	"Dec 12, 2003"
GSE595	"Human skeletal muscle"	"Expression profiling by array"	"Homo sapiens"	14	GDS511			14625377		"Despina Sanoudou"	"Dec 10, 2003"
GSE522	"X-radiation (XR) sensitive HCT116-CloneK: XR at 0 and 4 Gy"	"Expression profiling by array"	"Homo sapiens"	24	GDS527;GDS528					"Felix M. Mesak"	"Dec 08, 2003"
GSE523	"Unirradiated HCT116-CloneK cells"	"Expression profiling by array"	"Homo sapiens"	6						"Felix M. Mesak"	"Dec 08, 2003"
GSE524	"HCT116-CloneK cells 10 minutes after XR treatment at 4 Gy"	"Expression profiling by array"	"Homo sapiens"	6						"Felix M. Mesak"	"Dec 08, 2003"
GSE525	"HCT116-CloneK cells 6 hours after XR treatment at 4 Gy"	"Expression profiling by array"	"Homo sapiens"	6						"Felix M. Mesak"	"Dec 08, 2003"
GSE526	"HCT116-CloneK cells 24 hours after XR treatment at 4 Gy"	"Expression profiling by array"	"Homo sapiens"	6						"Felix M. Mesak"	"Dec 08, 2003"
GSE550	"RA"	"Expression profiling by array"	"Homo sapiens"	7						"El Houdaigui Fatiha"	"Nov 30, 2003"
GSE551	"OA"	"Expression profiling by array"	"Homo sapiens"	14						"El Houdaigui Fatiha"	"Nov 30, 2003"
GSE837	"angiogenesis"	"Expression profiling by array"	"Homo sapiens"	33	GDS495			15516835		"Cristin Print"	"Nov 28, 2003"
GSE767	"time 0.5 hr to 0 hr"	"Expression profiling by array"	"Homo sapiens"	6						"Anna Tsykin"	"Nov 26, 2003"
GSE771	"time 3 hr to 0 hr"	"Expression profiling by array"	"Homo sapiens"	4						"Anna Tsykin"	"Nov 25, 2003"
GSE777	"time 6 hr to 0 hr"	"Expression profiling by array"	"Homo sapiens"	4						"Anna Tsykin"	"Nov 25, 2003"
GSE778	"time 24 hr to 0 hr"	"Expression profiling by array"	"Homo sapiens"	4						"Anna Tsykin"	"Nov 25, 2003"
GSE779	"angiogenesis course"	"Expression profiling by array"	"Homo sapiens"	18				15840639		"Anna Tsykin"	"Nov 25, 2003"
GSE781	"Normal and Renal Cell Carcinoma Kidney Tissue, Human"	"Expression profiling by array"	"Homo sapiens"	34	GDS505;GDS507	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE781/suppl"	14641932		"Marc E. Lenburg"	"Nov 25, 2003"
GSE803	"GeneNote-Gene Normal tissue Expression"	"Expression profiling by array"	"Homo sapiens"	120	GDS422;GDS423;GDS424;GDS425;GDS426			15388519		"Orit Shmueli"	"Nov 19, 2003"
GSE703	"Blood pulmonary arterial hypertension"	"Expression profiling by array"	"Homo sapiens"	20	GDS504			15215156		"Christopher D Coldren"	"Nov 15, 2003"
GSE694	"SADE analysis of microdissected kidney"	"Expression profiling by SAGE"	"Homo sapiens;Mus musculus"	9				14595018		"Jean-Marc Elalouf"	"Nov 14, 2003"
GSE833	"Amyotrophic lateral sclerosis"	"Expression profiling by array"	"Homo sapiens"	11	GDS412			14645737		"Fernando Dangond"	"Nov 14, 2003"
GSE569	"Genes regulated by inflammatory cytokines in five primary endothelial cell types"	"Expression profiling by array"	"Homo sapiens"	15	GDS498;GDS499;GDS501;GDS502			15749026		"Terrill K. McClanahan"	"Nov 13, 2003"
GSE796	"Bladder cancer cells"	"Expression profiling by array"	"Homo sapiens"	36				16983830		"Robert Evan Hurst"	"Nov 03, 2003"
GSE620	"Gene expression profile analysis of 4-phenylbutyrate treatment of IB3-1 bronchial epithelial cell line"	"Expression profiling by array"	"Homo sapiens"	22	GDS493;GDS494	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE620/suppl"	14583596		"Jerry M. Wright"	"Oct 29, 2003"
GSE772	"Abeta-activated Array Experiment"	"Expression profiling by array"	"Homo sapiens"	143				14612454		"Scott Curtis Lohr"	"Oct 29, 2003"
GSE766	"RASF + IKB/Adtet + TNFa"	"Expression profiling by array"	"Homo sapiens"	6	GDS486			14872484		"Grier Page"	"Oct 23, 2003"
GSE759	"Long oligonucleotide arrays verse short oligonucleotide arrays-CTX066"	"Expression profiling by array"	"Homo sapiens"	9				15525690		"Jiang Li"	"Oct 22, 2003"
GSE761	"Long oligonucleotide arrays verse short oligonucleotide arrays -IMR32 cells"	"Expression profiling by array"	"Homo sapiens"	11						"Jiang Li"	"Oct 22, 2003"
GSE768	"Neural stem and neuroblastoma cells"	"Expression profiling by array"	"Homo sapiens"	20				15613614		"Jiang Li"	"Oct 22, 2003"
GSE546	"SARS coronavirus series"	"Expression profiling by array"	"Homo sapiens;Viruses"	4				14624234		"Joe DeRisi"	"Oct 19, 2003"
GSE751	"HEVEC dedifferentiation"	"Expression profiling by array"	"Homo sapiens"	16	GDS622;GDS623;GDS624			14976058		"Delphine-Armelle Lacorre"	"Oct 18, 2003"
GSE593	"Uterine Fibroid and Normal Myometrial Expression Profiles- U133 Arrays"	"Expression profiling by array"	"Homo sapiens"	10	GDS484			15374708		"Jeffrey Gregg"	"Oct 17, 2003"
GSE685	"DACH1 inhibits TGF-beta signaling through binding Smad4"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	9	GDS483			14525983		"Kongming Wu"	"Oct 15, 2003"
GSE741	"Native versus cultured retinal pigment epithelium cells"	"Expression profiling by array"	"Homo sapiens"	21				14982971		"James T Handa"	"Oct 15, 2003"
GSE609	"SCID vs Normal Thymocyte Comparisons"	"Expression profiling by array"	"Homo sapiens"	4	GDS420;GDS421			14602880		"Harjit Kaur Dadi"	"Oct 10, 2003"
GSE712	"CVB3-infected HeLa cells (multiple time points)"	"Expression profiling by array"	"Homo sapiens"	13	GDS477					"Bruce Maxwell McManus"	"Oct 09, 2003"
GSE701	"Transcriptional response of lymphoblastoid cells to ionizing radiation"	"Expression profiling by array"	"Homo sapiens"	12	GDS479			12915489		"Kuang-Yu Jen"	"Oct 08, 2003"
GSE713	"UV radiation-induced DNA damage"	"Expression profiling by array"	"Homo sapiens"	20	GDS400			12907719		"Massimiliano Gentile"	"Oct 08, 2003"
GSE697	"CVB3-infected HeLa cells (multiple time points and triplicate sample per time point)"	"Expression profiling by array"	"Homo sapiens"	24	GDS478					"Bruce Maxwell McManus"	"Oct 07, 2003"
GSE675	"Time course analysis of response to HCMV infection"	"Expression profiling by array"	"Homo sapiens"	12	GDS476			11711622		"Thomas Shenk"	"Sep 25, 2003"
GSE674	"Normal Muscle - Female , Effect of Age"	"Expression profiling by array"	"Homo sapiens"	30	GDS472;GDS473			15036396		"Stephen Welle"	"Sep 22, 2003"
GSE672	"Iron chelation on human cytomegalovirus infected MRC-5 fibroblasts"	"Expression profiling by array"	"Homo sapiens"	3				14749214;15175225		"Lilia Maglova-Crowe"	"Sep 20, 2003"
GSE666	"RNA degradation and apoptosis"	"Expression profiling by array"	"Homo sapiens"	19				14647279		"Herbert Auer"	"Sep 17, 2003"
GSE527	"Cervical Cancer"	"Expression profiling by array"	"Homo sapiens"	33	GDS470			14654527		"Khew-Voon Chin"	"Sep 12, 2003"
GSE409	"IMR-90 cells: Collagen Mesh Time Course"	"Expression profiling by array"	"Homo sapiens"	19				15159079		"Catherine Klapperich"	"Sep 10, 2003"
GSE410	"IMR-90 cells: Tissue Culture Polystyrene Time Course"	"Expression profiling by array"	"Homo sapiens"	13				15159079		"Catherine Klapperich"	"Sep 10, 2003"
GSE453	"fhCMV-H vs fhCMV-T"	"Expression profiling by array"	"Homo sapiens"	16	GDS177			12361756		"Lynn Graf"	"Sep 09, 2003"
GSE621	"Interstitial cystitis and antiproliferative factor treatment"	"Expression profiling by array"	"Homo sapiens"	28				12847144		"Susan Keay"	"Sep 03, 2003"
GSE430	"Effect of left ventricular assist device support on congestive heart failure patients"	"Expression profiling by array"	"Homo sapiens"	14				12824457		"Yingjie Chen"	"Sep 01, 2003"
GSE420	"Aortic stiffness"	"Expression profiling by array"	"Homo sapiens"	10				14530203		"Richard E. Pratt"	"Aug 28, 2003"
GSE448	"WS1 response to high dose of UV-C"	"Expression profiling by array"	"Homo sapiens"	12				12907719		"Massimiliano Gentile"	"Aug 09, 2003"
GSE449	"WS1 response to low dose of UV-C"	"Expression profiling by array"	"Homo sapiens"	12				12907719		"Massimiliano Gentile"	"Aug 09, 2003"
GSE574	"Idiopathic thrombocytopenic purpura (ITP)"	"Expression profiling by array"	"Homo sapiens"	6	GDS390			12937414		"Bob Olsson"	"Aug 08, 2003"
GSE570	"HeLa CD4+ transfection"	"Expression profiling by array"	"Homo sapiens"	4				15780141		"Winnie Liang"	"Aug 04, 2003"
GSE571	"HeLa CD4+ cells transfected with epitope-tagged eTat plasmids"	"Expression profiling by array"	"Homo sapiens"	16				15780141		"Winnie Liang"	"Aug 04, 2003"
GSE572	"HeLa CD4+ cells transfected with parental vector pCep4"	"Expression profiling by array"	"Homo sapiens"	16				15780141		"Winnie Liang"	"Aug 04, 2003"
GSE545	"SAGE Hiroshima gastric cancer tissue"	"Expression profiling by SAGE"	"Homo sapiens"	5				15059891;16331256		"Wataru Yasui"	"Jul 21, 2003"
GSE463	"Profiling of human bone marrow stromal cell lines HS-5 and HS-27a"	"Expression profiling by array"	"Homo sapiens"	8	GDS12			12184274		"Mineo Iwata"	"Jul 16, 2003"
GSE465	"Expression profiling in the muscular dystrophies"	"Expression profiling by array"	"Homo sapiens"	57	GDS214;GDS262;GDS264;GDS265;GDS270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE465/suppl"	11121445		"Eric Hoffman"	"Jul 16, 2003"
GSE468	"Expression profiling of medulloblastoma"	"Expression profiling by array"	"Homo sapiens"	23	GDS232	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE468/suppl"	11544480		"Eric Hoffman"	"Jul 16, 2003"
GSE470	"Asthma exacerbatory factors"	"Expression profiling by array"	"Homo sapiens"	12	GDS261	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE470/suppl"			"Eric Hoffman"	"Jul 16, 2003"
GSE472	"Congestive heart failure in dog"	"Expression profiling by array"	"Canis lupus familiaris;Homo sapiens"	5	GDS213	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE472/suppl"			"Eric Hoffman"	"Jul 16, 2003"
GSE473	"PGA Human CD4+ Lymphocytes"	"Expression profiling by array"	"Homo sapiens"	175	GDS266;GDS267	"CEL;PDF"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE473/suppl"	19216740		"Eric Hoffman"	"Jul 16, 2003"
