Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE18023	"Mice with FIA develop anti-native and anti-in vitro citrullinated fibrinogen antibodies"	"Protein profiling by protein array"	"Homo sapiens;Mus musculus"	10		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18023/suppl"	19949094		"William Robinson"	"Sep 12, 2009"
GSE18024	"FIA plasma induces arthritis in naïve mice"	"Protein profiling by protein array"	"Homo sapiens;Mus musculus"	8		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18024/suppl"	19949094		"William Robinson"	"Sep 12, 2009"
GSE18025	"Fibrinogen-reactive T cells transfer disease to naïve mice"	"Protein profiling by protein array"	"Homo sapiens;Mus musculus"	9		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18025/suppl"	19949094		"William Robinson"	"Sep 12, 2009"
GSE18072	"Gene expression profiles of dental follicle cells before and after osteogenic differentiation in vitro"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18072/suppl"	19252934;20348482		"Christian Morsczeck"	"Sep 12, 2009"
GSE18073	"Mice with fibrinogen-induced arthritis (FIA)"	"Protein profiling by protein array"	"Homo sapiens;Mus musculus"	23		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18073/suppl"	19949094		"William Robinson"	"Sep 12, 2009"
GSE16877	"HEK293 stably expressing Autoimmune regulator protein"	"Expression profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16877/suppl"	19744957		"Tõnis Org"	"Sep 11, 2009"
GSE17216	"ChIP to AIRE regulated genes in HEK 293 cells"	"Genome binding/occupancy profiling by genome tiling array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17216/suppl"	19744957		"Tõnis Org"	"Sep 11, 2009"
GSE17967	"RMA expression data for liver samples from subjects with HCV cirrhosis with and without concomitant HCC"	"Expression profiling by array"	"Homo sapiens"	63		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17967/suppl"	19861515		"Kellie J. Archer"	"Sep 11, 2009"
GSE18046	"An Estrogen Receptor α-bound Human Chromatin Interactome"	"Other;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	10		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18046/suppl"	19890323	SRP001979	"Yijun Ruan"	"Sep 11, 2009"
GSE18047	"Classical and/or alternative NF-kB pathway activation in multiple myeloma pathogenesis"	"Expression profiling by array"	"Homo sapiens"	18		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18047/suppl"	20053756		"Oleg Konstantin Glebov"	"Sep 11, 2009"
GSE18054	"Gene Expression Profiles of a Progression Model of Human Ovarian Cancer"	"Expression profiling by array"	"Homo sapiens"	3		"TXT;XLS"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18054/suppl"	20530682;24132919;26130461		"Sharmila Bapat"	"Sep 11, 2009"
GSE14334	"Transcriptomic analysis of human lung development"	"Expression profiling by array"	"Homo sapiens"	38	GDS4930	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14334/suppl"	19815808;24929828		"Alvin T. Kho"	"Sep 10, 2009"
GSE18026	"Analysis of chronic lymphocytic leukemia CLL cells and normal B cells"	"Expression profiling by array"	"Homo sapiens"	7		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18026/suppl"	19745069;24597981		"Sanjai Sharma"	"Sep 10, 2009"
GSE18043	"Priming integrin alpha5 promotes human mesenchymal stromal cell osteoblast differentiation and osteogenesis"	"Expression profiling by array"	"Homo sapiens"	12		"CEL;EXP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18043/suppl"	19843692		"Thomas Häupl"	"Sep 10, 2009"
GSE12841	"Changes in gene expression of granulocytes during in vivo G-CSF/dexamethasone mobilization."	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12841/suppl"	19349622;20354173		"Agata Drewniak"	"Sep 09, 2009"
GSE17019	"Study of Differential Gene Expression in Metastatic Breast Tumors"	"Expression profiling by array"	"Homo sapiens"	9		"CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17019/suppl"	19640305		"Nagendra Ningaraj"	"Sep 09, 2009"
GSE17906	"Gene expression down-regulation in prostate tumor-associated stromal cells involves organ-specific genes"	"Expression profiling by array"	"Homo sapiens"	25		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17906/suppl"	19737398		"Ricardo Z.N. Vêncio"	"Sep 09, 2009"
GSE17926	"Interferon regulatory factor 5 expression levels regulate murine lupus in a type-I interferon-independent manner"	"Protein profiling by protein array"	"Bos taurus;Escherichia coli;Gallus gallus;Homo sapiens;Mus musculus;Oryctolagus cuniculus"	70		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17926/suppl"	20007534		"Chih Long Liu"	"Sep 09, 2009"
GSE18000	"Gene expression comparison of drug-resistant Panc1/mock cells and Panc1 cells expressing wildtype syk"	"Expression profiling by array"	"Homo sapiens"	2		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18000/suppl"	19893036		"Jian-Liang Li"	"Sep 09, 2009"
GSE18015	"Molecular analysis of ex-vivo CD133+ GBM cells revealed a common invasive and angiogenic profile but different proliferative signatures among high grade gliomas."	"Expression profiling by array"	"Homo sapiens"	16		"CEL;CHP;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18015/suppl"	20735813		"Fran González"	"Sep 09, 2009"
GSE10186	"Integrative Transcriptome Analysis Reveals Common Molecular Subtypes of Human Hepatocellular Carcinoma"	"Expression profiling by array"	"Homo sapiens"	118		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10186/suppl"	19723656;28644127		"Yujin Hoshida"	"Sep 08, 2009"
GSE10393	"Integrative Transcriptome Analysis Reveals Common Molecular Subtypes of Human Hepatocellular Carcinoma (HT-HG_U133A)"	"Expression profiling by array"	"Homo sapiens"	4	GDS4269	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10393/suppl"	19723656		"Yujin Hoshida"	"Sep 08, 2009"
GSE12811	"CAMK1D amplification implicated in epithelial-mesenchymal transition in basal-like breast cancer (expr)"	"Expression profiling by array"	"Homo sapiens"	4				19383354		"Jonathan Pollack"	"Sep 08, 2009"
GSE12813	"CAMK1D amplification implicated in epithelial-mesenchymal transition in basal-like breast cancer (aCGH)"	"Genome variation profiling by array"	"Homo sapiens"	172				19383354		"Jonathan Pollack"	"Sep 08, 2009"
GSE12827	"CAMK1D amplification implicated in epithelial-mesenchymal transition in basal-like breast cancer"	"Expression profiling by array;Genome variation profiling by array"	"Homo sapiens"	176				19383354		"Jonathan Pollack"	"Sep 08, 2009"
GSE12830	"Osteosarcoma Copy Number Analysis"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12830/suppl"	19286668		"Bekim Sadikovic"	"Sep 08, 2009"
GSE12843	"Comparative profiling of mRNA expression in human mesenchymal stem cells derived from adult adipose and lipoma tissues"	"Expression profiling by array"	"Homo sapiens"	4		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12843/suppl"			"Sung-Liang Yu"	"Sep 08, 2009"
GSE12864	"Me-DIP-chip data from osteosarcoma tumours"	"Methylation profiling by genome tiling array"	"Homo sapiens"	24		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12864/suppl"	19286668		"Bekim Sadikovic"	"Sep 08, 2009"
GSE12865	"Gene expression of human paediatric osteosarcoma tumour samples relative to normal human osteoblasts"	"Expression profiling by array"	"Homo sapiens"	14		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12865/suppl"	19286668		"Bekim Sadikovic"	"Sep 08, 2009"
GSE12885	"Genome-wide changes in DNA methylation and copy number play a role in deregulation of gene expression in osteosarcoma"	"Expression profiling by array;Genome variation profiling by genome tiling array;Methylation profiling by genome tiling array"	"Homo sapiens"	58		"CEL;CHP;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12885/suppl"	19286668		"Bekim Sadikovic"	"Sep 08, 2009"
GSE14511	"Quantification of synthetic miRNAs"	"Non-coding RNA profiling by array;Non-coding RNA profiling by high throughput sequencing"	"Homo sapiens;Human alphaherpesvirus 1;Human betaherpesvirus 5;Human gammaherpesvirus 4;Human gammaherpesvirus 8;Human immunodeficiency virus 1;Human polyomavirus 1;JC polyomavirus;Macaca mulatta polyomavirus 1;Murid betaherpesvirus 1;Murid gammaherpesvirus 4;Mus musculus;Rattus norvegicus"	18		"TXT;ZIP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14511/suppl"	19745027		"Hanni Willenbrock"	"Sep 08, 2009"
GSE16060	"The non-coding RNA of the multidrug resistance-linked vault particle encodes multiple regulatory small RNAs"	"Non-coding RNA profiling by high throughput sequencing"	"Homo sapiens"	1				19749744	SRP001310	"Helena Persson"	"Sep 08, 2009"
GSE16066	"Networking of differentially expressed genes in CaCo2 human colon cancer cells resistant to methotrexate"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16066/suppl"	19732436		"Carlos J Ciudad"	"Sep 08, 2009"
GSE16070	"Networking of differentially expressed genes in human MCF7 breast cancer cells resistant to methotrexate"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16070/suppl"	19732436		"Carlos J Ciudad"	"Sep 08, 2009"
GSE16080	"Networking of differentially expressed genes in human MDA-MB-468 breast cancer cells resistant to methotrexate"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16080/suppl"	19732436		"Carlos J Ciudad"	"Sep 08, 2009"
GSE16082	"Networking of differentially expressed genes in human MIA PaCa2 pancreatic cancer cells resistant to methotrexate"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16082/suppl"	19732436		"Carlos J Ciudad"	"Sep 08, 2009"
GSE16085	"Networking of differentially expressed genes in human K562 erythtoblastic leukemia cells resistant to methotrexate"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16085/suppl"	19732436		"Carlos J Ciudad"	"Sep 08, 2009"
GSE16089	"Networking of differentially expressed genes in human Saos-2 osteosarcoma cells resistant to methotrexate"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16089/suppl"	19732436		"Carlos J Ciudad"	"Sep 08, 2009"
GSE16648	"Networking of differentially expressed genes in human cancer cell lines resistant to methotrexate"	"Expression profiling by array"	"Homo sapiens"	42		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16648/suppl"	19732436		"Carlos J Ciudad"	"Sep 08, 2009"
GSE16873	"Early Dysregulation of Cell Adhesion and Extracellular Matrix Pathways in Breast Cancer Progression"	"Expression profiling by array"	"Homo sapiens"	40		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16873/suppl"	19700746		"Lyndsey A. Emery"	"Sep 08, 2009"
GSE14390	"Gene expression profiling of human alveolar macrophages infected by B. anthracis spores "	"Expression profiling by array"	"Homo sapiens"	7		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14390/suppl"	19744333		"Mikhail Dozmorov"	"Sep 07, 2009"
GSE17531	"Distribution of macroH2A1 and macroH2A2 at gene promoters in NT2/D1 cells"	"Genome binding/occupancy profiling by genome tiling array"	"Homo sapiens"	26		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17531/suppl"	19734898		"Lauro Sumoy"	"Sep 06, 2009"
GSE17908	"Differential gene expression patterns of EBV infected EBNA-3 positive and negative human B lymphocytes"	"Expression profiling by array"	"Homo sapiens"	14		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17908/suppl"	19578441		"Roland Lang"	"Sep 05, 2009"
GSE17951	"Gene expression analysis of prostate cancer samples using Affymetrix U133Plus2 array"	"Expression profiling by array"	"Homo sapiens"	154		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17951/suppl"	20663908;21459804		"Yipeng Wang"	"Sep 05, 2009"
GSE17987	"Novel treatment of human pancreatic cancer using masitinib combined with standard gemcitabine chemotherapy"	"Expression profiling by array"	"Homo sapiens"	4	GDS4105	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17987/suppl"	20209107;22110708		"Pascal FINETTI"	"Sep 05, 2009"
GSE17254	"Comparative analysis of gene regulation by the transcription factor PPARα between mouse and human"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	48		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17254/suppl"	19710929;22215653		"Guido Hooiveld"	"Sep 04, 2009"
GSE12653	"Gene Expression Analysis in Peripheral Blood of Patients with Rheumatoid Arthritis"	"Expression profiling by array"	"Homo sapiens"	72				18784373		"TERAO KIMIO"	"Sep 03, 2009"
GSE15573	"Immunity and Defense Genes in Peripheral Blood Mononuclear Cells of Rheumatoid Arthritis patients"	"Expression profiling by array"	"Homo sapiens"	33	GDS3794	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15573/suppl"	19710928		"Robert Olaso"	"Sep 03, 2009"
GSE17948	"Expression Data From HCMV-Infected Human Monocytes: Role of EGFR"	"Expression profiling by array"	"Homo sapiens"	16		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17948/suppl"	20018733;20173022		"Andrew D. Yurochko"	"Sep 03, 2009"
GSE5511	"Genes regulating B cell development are mutated in acute lymphoid leukaemia"	"Genome variation profiling by SNP array;SNP genotyping by SNP array"	"Homo sapiens"	1099				17344859		"Charles G Mullighan"	"Sep 02, 2009"
GSE9109	"SNP array data for 304 pediatric and adult acute lymphoblastic leukemia cases"	"Genome variation profiling by SNP array;SNP genotyping by SNP array"	"Homo sapiens"	1112				18408710		"Charles G Mullighan"	"Sep 02, 2009"
GSE9110	"SNP array data for 56 chronic myeloid leukemia samples."	"Genome variation profiling by SNP array;SNP genotyping by SNP array"	"Homo sapiens"	112				18408710		"Charles G Mullighan"	"Sep 02, 2009"
GSE9111	"SNP array data for 50 leukemia remission samples"	"Genome variation profiling by SNP array;SNP genotyping by SNP array"	"Homo sapiens"	200				18408710		"Charles G Mullighan"	"Sep 02, 2009"
GSE9112	"SNP array data for 36 acute myeloid and lymphoblastic leukemia cell lines"	"Genome variation profiling by SNP array;SNP genotyping by SNP array"	"Homo sapiens"	72				18408710		"Charles G Mullighan"	"Sep 02, 2009"
GSE9113	"Affymetrix SNP array data for acute lymphoblastic leukemia samples"	"Genome variation profiling by SNP array;SNP genotyping by SNP array"	"Homo sapiens"	1496				18408710		"Charles G Mullighan"	"Sep 02, 2009"
GSE12761	"Co-amplification at 8p and 11q in breast tumors and cell lines with 8p11q array Genomic Comparative Hybridization"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	42		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12761/suppl"	19330026		"Serena S kwek"	"Sep 02, 2009"
GSE16464	"Chondrogenic differentiation potential of OA chondrocytes and their use in autologous chondrocyte transplantation"	"Expression profiling by array"	"Homo sapiens"	12	GDS3758	"CEL;EXP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16464/suppl"	19723327		"Tilo Dehne"	"Sep 02, 2009"
GSE17907	"Molecular profiling of ERBB2-amplified breast cancers"	"Expression profiling by array;Genome variation profiling by array"	"Homo sapiens"	109		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17907/suppl"	20932292		"Pascal FINETTI"	"Sep 02, 2009"
GSE17922	"Immunomodulatory effect of 5-azacytidine (5-azaC): potential role in the transplantation setting."	"Expression profiling by array"	"Homo sapiens"	12		"CEL;CHP;XLS"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17922/suppl"	19887673		"José Antonio Pérez Simón"	"Sep 02, 2009"
GSE9169	"Gene expression during neuronal differentiation in two subtypes of SH-SY5Y"	"Expression profiling by array"	"Homo sapiens"	86		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9169/suppl"	18957096		"Tadayuki Takeda"	"Sep 01, 2009"
GSE12459	"HCT116 cells isogenic for p53 expression upon treatment with actinomycin D and nutlin-3"	"Expression profiling by array"	"Homo sapiens"	30		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12459/suppl"	19657224		"Meng Ling Choong"	"Sep 01, 2009"
GSE14473	"Comprehensive Characterization of microRNAs and mRNAs in Maintenance and Differentiation of Human Embryonic Stem Cells"	"Non-coding RNA profiling by array;Expression profiling by array"	"Homo sapiens"	43		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14473/suppl"	20128659		"Bradford Stadler"	"Sep 01, 2009"
GSE16191	"EGR4 is a master gene responsible for fertility in cryptorchidism"	"Expression profiling by array"	"Homo sapiens"	20		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16191/suppl"			"Edward James Oakeley"	"Sep 01, 2009"
GSE16237	"Expression data of human neuroblastoma tissue samples"	"Expression profiling by array"	"Homo sapiens"	51		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16237/suppl"	20380745		"Eiso Hiyama"	"Sep 01, 2009"
GSE16615	"gene expression in human subcutaneous adipose tissue after CLA intervention"	"Expression profiling by array"	"Homo sapiens"	39		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16615/suppl"	19689798		"Julia Herrmann"	"Sep 01, 2009"
GSE17265	"Expression data comparing human foreskin keratinocytes to epithelial derivatives of human embryonic stem cells (H9)"	"Expression profiling by array"	"Homo sapiens"	6		"PAIR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17265/suppl"	19686061		"Christian Metallo"	"Sep 01, 2009"
GSE17307	"GRE specific DNA-binding polyamide effect on dexamethasone-stimulated lung adenocarcinoma cell line"	"Expression profiling by array"	"Homo sapiens"	15		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17307/suppl"	19805343		"Peter Dervan"	"Sep 01, 2009"
GSE17351	"Expression data from esophageal squamous cell carcinoma (ESCC)"	"Expression profiling by array"	"Homo sapiens"	10		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17351/suppl"	20042640		"Hiroshi Nakagawa"	"Sep 01, 2009"
GSE17353	"Expression data from hypoxia exposed normal human esophageal epithelial cells"	"Expression profiling by array"	"Homo sapiens"	8		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17353/suppl"	20042640		"Hiroshi Nakagawa"	"Sep 01, 2009"
GSE10549	"Identification of Vaccinia Virus HLA Class I Peptides Presented by the Immune System"	"Protein profiling by Mass Spec"	"Bos taurus;Homo sapiens;Vaccinia virus"	3						"Kenneth L. Johnson"	"Aug 31, 2009"
GSE14230	"Gene expression profiling of bone marrow endothelial cells in patients with multiple myeloma"	"Expression profiling by array"	"Homo sapiens"	15		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14230/suppl"	19690192		"Luca Agnelli"	"Aug 31, 2009"
GSE15291	"Development of a novel parameter for quantification of methylation levels in MeDIP-CpG island microarray analysis "	"Methylation profiling by genome tiling array"	"Homo sapiens"	7		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15291/suppl"	19767598		"Satoshi Yamashita"	"Aug 31, 2009"
GSE16650	"Expression data from Bronchial Epithelial Cells exposed to Cyclic Stretch with and without LPS or TNFa"	"Expression profiling by array"	"Homo sapiens"	12		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16650/suppl"			"Claudia Chimisso dos Santos"	"Aug 31, 2009"
GSE16836	"Transcriptional profiling of CD16+ and CD16- peripheral blood monocytes from healthy individuals"	"Expression profiling by array"	"Homo sapiens"	8	GDS4219	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16836/suppl"	19712453		"Petronela ANCUTA"	"Aug 31, 2009"
GSE17043	"Molecular and functional characterization of FD-iPSC derived neural crest precursor cells"	"Expression profiling by array"	"Homo sapiens"	18		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17043/suppl"	19693009		"Agnes Viale"	"Aug 31, 2009"
GSE17221	"Rapid Identification of Bacterial Pathogens using a PCR- and Microarray-Based Assay"	"Other"	"Acinetobacter baumannii;Enterococcus faecalis;Enterococcus faecium;Haemophilus influenzae;Homo sapiens;Klebsiella pneumoniae;Listeria monocytogenes;Neisseria meningitidis;Staphylococcus aureus;Staphylococcus epidermidis;Streptococcus agalactiae;Streptococcus pneumoniae;Streptococcus pyogenes;unidentified"	195		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17221/suppl"	19664269		"Anna-Kaarina Jarvinen"	"Aug 31, 2009"
GSE8908	"Gene expression analysis of chronically inflamed human peri-implant and periodontal ligament cells in vivo"	"Expression profiling by array"	"Homo sapiens"	2		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8908/suppl"			"Robert Geffers"	"Aug 30, 2009"
GSE17011	"Characterisation of the NRF2-mediated anti-oxidant gene battery by transcriptional profiling"	"Expression profiling by array"	"Homo sapiens"	8		"TXT;XLS"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17011/suppl"	19608619		"simon matthew plummer"	"Aug 30, 2009"
GSE17833	"The comparison of CpG methylation profiles between CD34+ and CD34- human umbilical cord blood cells"	"Methylation profiling by genome tiling array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17833/suppl"	19752395		"Il-Hoan Oh"	"Aug 29, 2009"
GSE12585	"Expression data from healthy smokers"	"Expression profiling by array"	"Homo sapiens"	23		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12585/suppl"			"Jinguo Chen"	"Aug 28, 2009"
GSE12586	"Alterations of gene expression in human peripheral lymphocytes after exposure to cigarette smoke condensate in vitro"	"Expression profiling by array"	"Homo sapiens"	16		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12586/suppl"			"Jinguo Chen"	"Aug 28, 2009"
GSE12587	"Alterations of global gene expression by cigarette smoke"	"Expression profiling by array"	"Homo sapiens"	39		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12587/suppl"			"Jinguo Chen"	"Aug 28, 2009"
GSE17861	"Analyses of heterogeneous renal allograft biopsies reveal conserved rejection signatures and molecular pathways I, partB"	"Expression profiling by array"	"Homo sapiens"	16		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17861/suppl"	19017305		"Andreas Scherer"	"Aug 28, 2009"
GSE13933	"Trachea Epithelium as a “ Canary” for Cigarette Smoking-induced Biologic Phenotype of Small Airway Epithelium"	"Expression profiling by array"	"Homo sapiens"	87		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13933/suppl"	20443905		"Yael Strulovici-Barel"	"Aug 27, 2009"
GSE14986	"Antiestrogen-resistant subclones of MCF-7 human breast cancer cells are derived from a common clonal drug-resistant progenitor"	"Expression profiling by array"	"Homo sapiens"	30		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14986/suppl"	19706540		"Ben S. Wittner"	"Aug 27, 2009"
GSE16125	"Integrative approach for prioritizing cancer genes in sporadic colon cancer"	"Expression profiling by array;Genome variation profiling by SNP array"	"Homo sapiens"	84		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16125/suppl"	19672874		"James F Reid"	"Aug 27, 2009"
GSE16622	"HIF-2alpha Knockdown in A498 (VHL-/-) ccRCC cells"	"Expression profiling by array"	"Homo sapiens"	8		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16622/suppl"	19706526		"Amar Majmundar"	"Aug 27, 2009"
GSE17525	"Gene regulation in a novel therapeutic approach that involves ceramide-induced apoptosis pathways"	"Expression profiling by array"	"Homo sapiens"	16		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17525/suppl"	22980406		"Azza Al-Mahrouki"	"Aug 27, 2009"
GSE17828	"Control HepG2 vs miR-24 HepG2 cells"	"Expression profiling by array"	"Homo sapiens"	4	GDS5253	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17828/suppl"	19748357		"Ashish Lal"	"Aug 27, 2009"
GSE1844	"Muscle sample biopsies on hyperCKemical subjects"	"Expression profiling by array"	"Homo sapiens"	3		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1844/suppl"			"Marco Crimi"	"Aug 26, 2009"
GSE5845	"Bladder Cancer 40 Cell Lines"	"Expression profiling by array"	"Homo sapiens"	40				17666531		"Jae K Lee"	"Aug 26, 2009"
GSE5846	"NCI-60 Cancer Cell Line"	"Expression profiling by array"	"Homo sapiens"	60				17666531		"Jae K Lee"	"Aug 26, 2009"
GSE11686	"Unique Transcriptional Profile in Wrist Muscles From Cerebral Palsy Patients"	"Expression profiling by array"	"Homo sapiens"	16	GDS3644	"CEL;CHP;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11686/suppl"	19602279		"Lucas Robert Smith"	"Aug 26, 2009"
GSE12548	"EMT Time series in ARPE19"	"Expression profiling by array"	"Homo sapiens"	20		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12548/suppl"	19965872		"Rui Ose"	"Aug 26, 2009"
